talla;segundos
10000;0,53100
20000;2,14000
30000;4,76600
40000;8,56200
50000;14,12500
60000;20,82800
70000;27,51600
80000;35,45300
90000;45,00000
100000;53,93700
110000;66,68800
120000;80,53100
130000;91,06300
140000;105,26500
150000;120,01500
160000;134,48500
170000;154,21900
180000;172,37500
190000;192,25000
200000;219,32800
210000;244,14100
220000;257,51600
230000;290,17200
240000;320,06200
250000;346,15600
260000;372,68800
270000;395,60800
280000;424,20400
290000;456,34400
300000;487,90600
310000;509,09300
320000;544,45300
330000;579,64200
340000;611,15700
350000;645,60800
360000;680,43800
370000;727,40600
380000;769,14100
390000;793,95300
400000;824,00000
410000;886,00000
420000;931,40600
430000;977,64000
440000;1088,15700
450000;1139,93700
460000;1192,09400
470000;1175,50000
480000;1211,28200
490000;1262,06200
500000;1287,10900
